,Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
,316,49,39,28,42,32,26,92,-,49,12,-,0,30.49,-,30.31,-,0.03,-
,317,60,51,42,50,44,41,100,-,57,12,-,0,30.32,-,30.25,-,0.64,-
,318,52,48,43,42,38,34,89,-,56,17,-,5,30.35,-,30.25,-,0,-
,319,54,44,33,38,35,32,100,-,46,13,-,0,30.26,-,30.07,-,0,-
,320,67,52,36,43,37,32,100,-,28,13,-,0,30.12,-,29.96,-,0,-
,321,57,46,34,35,32,28,92,-,35,8,-,0,30.27,-,30.13,-,0,-
,322,67,50,33,53,43,32,96,-,44,29,-,0,30.14,-,29.59,-,0,-
,323,64,49,34,58,36,24,93,-,31,26,-,0,30.08,-,29.54,-,0.08,-
,324,57,43,28,31,26,21,92,-,25,10,-,0,30.29,-,30.11,-,0,-
,325,64,47,30,49,39,30,89,-,52,13,-,0,30.25,-,30.01,-,0,-
,326,62,52,42,51,38,25,100,-,32,14,-,0,30.17,-,29.94,-,0.03,-
,327,50,40,29,31,28,25,92,-,39,9,-,0,30.19,-,30.06,-,0,-
,328,57,42,26,35,27,22,100,-,27,9,-,0,30.11,-,29.97,-,0,-
,329,67,48,29,42,35,27,92,-,40,15,-,0,29.96,-,29.82,-,0,-
,330,62,48,33,40,29,23,76,-,23,12,-,0,30.13,-,29.95,-,0,-
,331,61,44,26,32,26,17,100,-,19,10,-,0,30.3,-,30.13,-,0,-
,332,65,47,29,36,31,25,92,-,25,12,-,0,30.4,-,30.29,-,0,-
,333,70,55,40,43,34,27,89,-,20,10,-,0,30.3,-,30.2,-,0,-
,334,69,52,35,42,37,34,92,-,27,8,-,0,30.23,-,30.07,-,0,-
Dec,335,63,52,41,44,41,38,92,-,43,15,-,0,30.25,-,30.07,-,0,-
,336,51,48,45,45,43,39,86,-,63,10,-,0,30.27,-,30.19,-,0,-
,337,64,53,42,46,43,38,100,-,44,9,-,0,30.27,-,30.14,-,0,-
,338,61,47,33,43,37,33,100,-,36,10,-,0,30.41,-,30.27,-,0,-
,339,69,55,41,57,49,40,100,-,61,14,-,0,30.28,-,30.03,-,0,-
,340,57,49,41,57,36,16,100,-,28,12,-,0,30.14,-,29.97,-,0.24,-
,341,49,45,40,33,28,24,73,-,39,8,-,0,30.19,-,30.09,-,0,-
,342,49,41,32,38,34,32,96,-,67,13,-,0,30.11,-,29.95,-,1.33,-
,343,34,33,32,33,33,31,100,-,96,12,-,0,29.95,-,29.8,-,0.3,-
,344,43,35,27,30,26,23,100,-,49,15,-,0,30.22,-,29.97,-,0,-
,345,55,41,26,32,27,24,85,-,35,12,-,0,30.17,-,29.91,-,0,-
,346,53,42,30,37,29,8,79,-,39,18,-,6,29.88,-,29.62,-,0,-
,347,43,32,21,19,11,2,62,-,24,20,-,0,30.02,-,29.73,-,0,-
,348,57,44,30,27,23,19,69,-,27,16,-,0,30.03,-,29.7,-,0,-
,349,43,37,31,28,26,23,82,-,53,12,-,0,30.14,-,29.94,-,0,-
,350,50,37,24,25,22,20,88,-,33,14,-,0,30.29,-,30.14,-,0,-
,351,51,39,27,42,30,24,92,-,41,10,-,0,30.3,-,30.19,-,0,-
,352,61,48,35,44,40,35,100,-,51,12,-,0,30.19,-,30.06,-,0,-
,353,70,53,36,48,42,37,100,-,40,14,-,0,30.12,-,29.97,-,0,-
,354,56,52,48,54,48,43,100,-,61,7,-,0,30.03,-,29.93,-,0.42,-
,355,53,45,36,48,35,27,100,-,38,13,-,0,30.24,-,29.99,-,0,-
,356,61,49,36,48,40,32,92,-,57,13,-,0,30.27,-,30.14,-,0,-
,357,71,60,48,58,53,46,93,-,61,26,-,5,30.11,-,29.86,-,0,-
,358,61,52,43,45,42,38,92,-,57,20,-,0,30.11,-,29.92,-,0,-
,359,47,39,30,45,19,5,100,-,27,20,-,0,30.39,-,29.9,-,0,-
,360,43,35,27,19,14,9,69,-,27,9,-,0,30.54,-,30.41,-,0,-
,361,45,36,27,25,19,13,78,-,36,12,-,0,30.51,-,30.37,-,0,-
,362,30,24,18,19,4,-4,69,-,24,16,-,0,30.64,-,30.49,-,0,-
,363,42,29,15,16,10,4,73,-,27,9,-,0,30.46,-,30.19,-,0,-
,364,52,40,27,26,22,17,68,-,35,16,-,0,30.21,-,29.96,-,0,-
,365,35,29,23,21,1,-7,61,-,23,18,-,5,30.4,-,30.13,-,0,-
